Country Region,Province State,Deaths
US,Wyoming,212
US,Wisconsin,62924
US,West Virginia,9042
US,Washington,124895
US,Virginia,136648
US,Virgin Islands,571
US,Vermont,5812
US,Utah,14229
US,Texas,210547
US,Tennessee,47601
US,South Dakota,77572
US,South Carolina,76249
US,Rhode Island,60
US,Puerto Rico,2
US,Pennsylvania,537261
US,Oregon,18165
US,Oklahoma,35470
US,Ohio,222951
US,Northern Mariana Islands,230
US,North Dakota,12743
US,North Carolina,103531
US,New York,3176945
US,New Mexico,39170
US,New Jersey,1221339
US,New Hampshire,25438
US,Nevada,45082
US,Nebraska,18039
US,Montana,2265
US,Missouri,84491
US,Mississippi,81848
US,Minnesota,107860
US,Michigan,576093
US,Massachusetts,666157
US,Maryland,254828
US,Maine,9256
US,Louisiana,285084
US,Kentucky,46743
US,Kansas,38359
US,Iowa,57245
US,Indiana,200183
US,Illinois,541672
US,Idaho,12980
US,Hawaii,2003
US,Guam,589
US,Grand Princess,13
US,Georgia,222262
US,Florida,292541
US,District of Columbia,45014
US,Diamond Princess,0
US,Delaware,37494
US,Connecticut,374346
US,Colorado,142506
US,California,481757
US,Arkansas,19171
US,Arizona,128478
US,American Samoa,0
US,Alaska,3999
US,Alabama,73446
