State,State.Minimum.Wage
Wyoming,150.45
Wisconsin,230.85
West Virginia,229.65
Washington,274.88
Virginia,208.3
Vermont,272.44
Utah,216.45
U.S. Virgin Islands,184.05
Texas,192.35
Tennessee,0
South Dakota,224.55
South Carolina,0
Rhode Island,261.25
Puerto Rico,103.95
Pennsylvania,233.85
Oregon,277.95
Oklahoma,132.85
Ohio,202.8
North Dakota,219.75
North Carolina,224.8
New York,255.5
New Mexico,224.05
New Jersey,251.65
New Hampshire,233.65
Nevada,227.13
Nebraska,219.25
Montana,193.7
Missouri,182.7
Mississippi,0
Minnesota,213.29
Michigan,240.65
Massachusetts,277.85
Maryland,246.2
Maine,256.95
Louisiana,0
Kentucky,210.4
Kansas,149.3
Iowa,178
Indiana,201.05
Illinois,237.85
Idaho,215.75
Hawaii,256.7
Guam,238.45
Georgia,163.33
Florida,114.53
District of Columbia,278.26
Delaware,237.95
Connecticut,275.33
Colorado,225.41
California,274.3
Arkansas,222.2625
Arizona,123.194
Alaska,279.57
Alabama,0
